Port_ID,ROI,PnL,Sharpe_Ratio,MDD,Win_Rate,Total_Positions,Win_Positions,Score
4020204877254599680,0.0031442076907164493,70638.37124428,0.06218305837643922,-1.09750095493995,0.3272597356198642,5598,1832,14687.739854894533
3999240873283311617,0.005443221148742845,42220.47216521,0.2296590933944483,-0.9969999352190009,0.5209334248455731,4371,2277,8881.493491156554
4021669203289716224,0.004074623999529124,26438.767141610002,0.06968821639236394,-0.9984587772540118,0.3162128712871287,1616,511,5449.599901395059
3960874214179953664,0.0023266129986102215,19277.53925264,0.16634892502166151,-1.0587132560601582,0.5060510981622591,2231,1129,4078.904166057932
3907081197088384000,0.010560862984416886,16986.45633284,0.21774580399659765,-1.0,0.6094659579853202,3951,2408,3792.6989305834927
3956076827719377409,0.010327867632948852,16618.829175130002,0.09959501105502253,-1.0,0.5121314896947561,3833,1963,3707.340065537471
3986814617275053313,0.008597103231570759,15847.59634446,0.3341914021126896,-1.0,0.7790560471976401,3390,2641,3508.866591908112
4028701921959171840,0.0038428674168431965,15750.62151397,0.27709638455740543,-1.0,0.5008460236886633,591,296,3209.5309595335048
3987739404272887297,0.005718692216611086,12435.87393515,0.051454814122121086,-1.0,0.23159752868490732,5665,1312,3053.9099533533586
3788465932399412480,0.008236981344265733,13209.20607365,0.1547874870526607,-0.9981314970890465,0.4527002537151142,2759,1249,2918.0195396466033
4022565861939831809,0.0023389192379371895,13807.94979679,0.3136664634965053,-1.0,0.526148969889065,631,332,2825.0060092234594
3931992636670880512,0.005708592967670466,10169.88944223,0.05143761300313619,-1.0,0.403737658674189,5672,2290,2601.4302623123585
4008711265867865600,0.002933616721780467,10579.77814317,0.26218111135341876,-0.9985643611997852,0.40771349862258954,363,148,2152.54942916339
3936410995029308417,0.017916337945109922,10681.514000000001,0.3155019039876208,-1.0,0.3157894736842105,19,6,2138.50285422955
3944088772635000577,0.007099133602191146,7471.56897874,0.30190219241859495,-1.0,0.4605059370160041,5811,2676,2075.722356520266
3962024093501274881,0.0014962563012940223,9417.35359449,0.07975337833912567,-1.0123391583012744,0.2568888888888889,1125,289,1996.2152751711076
4031493134338259457,0.001172539712661581,8887.1737933,0.16314269928620045,-0.9963819800582451,0.37889688249400477,1668,632,1944.5049050460323
3998572645139652353,0.004627552250662236,9432.8412635,0.26831895942705997,-0.9907026824654251,0.3481781376518219,247,86,1911.556263107819
3939318616482048768,0.010121156625293053,9406.8656064,0.25756839797091446,-1.0,0.5736842105263158,190,109,1900.6850397276346
3942630767220672256,0.005552925177562753,6575.78316398,0.06958081918426351,-1.0,0.38539254893706587,4751,1831,1790.510754092284
